,price,sqft_living,bedrooms,bathrooms,floors,condition,view,yr_built,zipcode,yr_bin,zip_bin,baths,bed_cat,floor_cat,condition_cat,view_cat,lat,long,$/sqft,bath/bed,bath/sqft,bed/sqft
13123,468000.0,1250,2,1.75,1.0,4,0.0,1986,98033,80s,"(98029.0, 98033.0]",1-2,2,1.0,4,0.0,47.6936,-122.186,374.4,0.875,0.0014,0.0016
13124,378000.0,2610,3,1.75,1.0,3,0.0,1981,98022,80s,"(98010.0, 98023.0]",1-2,3,1.0,3,0.0,47.2585,-121.925,144.82758620689654,0.5833333333333334,0.0006704980842911877,0.0011494252873563218
13125,430000.0,2010,4,2.5,1.5,5,0.0,1962,98059,60s,"(98058.0, 98070.0]",2-3,4,1.5,5,0.0,47.4821,-122.10799999999999,213.93034825870646,0.625,0.0012437810945273632,0.001990049751243781
13126,730100.0,3120,4,2.5,2.0,3,0.0,2003,98027,00s,"(98023.0, 98029.0]",2-3,4,2.0,3,0.0,47.5318,-122.055,234.00641025641025,0.625,0.0008012820512820513,0.001282051282051282
13127,219000.0,1370,4,1.5,1.5,3,0.0,1961,98198,60s,"(98177.0, 98199.0]",1-2,4,1.5,3,0.0,47.4224,-122.289,159.85401459854015,0.375,0.0010948905109489052,0.00291970802919708
13128,570000.0,2420,3,2.5,1.0,3,0.0,1990,98074,80s,"(98070.0, 98075.0]",2-3,3,1.0,3,0.0,47.6285,-122.054,235.53719008264463,0.8333333333333334,0.0010330578512396695,0.0012396694214876034
13129,262500.0,1500,4,2.75,1.0,3,0.0,1979,98032,70s,"(98029.0, 98033.0]",2-3,4,1.0,3,0.0,47.3665,-122.27600000000001,175.0,0.6875,0.0018333333333333333,0.0026666666666666666
13131,520000.0,950,2,1.0,1.0,4,0.0,1919,98117,pre-20s,"(98115.0, 98118.0]",0-1,2,1.0,4,0.0,47.687,-122.389,547.3684210526316,0.5,0.0010526315789473684,0.002105263157894737
13132,417400.0,2680,3,3.0,1.0,4,0.0,1970,98055,60s,"(98053.0, 98058.0]",2-3,3,1.0,4,0.0,47.4633,-122.196,155.7462686567164,1.0,0.001119402985074627,0.001119402985074627
13133,788000.0,3680,4,3.25,2.0,3,0.0,2003,98027,00s,"(98023.0, 98029.0]",3-4,4,2.0,3,0.0,47.5367,-122.06700000000001,214.1304347826087,0.8125,0.0008831521739130435,0.0010869565217391304
13134,320000.0,1270,3,1.0,1.0,4,2.0,1956,98056,50s,"(98053.0, 98058.0]",0-1,3,1.0,4,2.0,47.4831,-122.191,251.96850393700788,0.3333333333333333,0.0007874015748031496,0.002362204724409449
13136,255000.0,960,3,1.0,1.0,3,0.0,1955,98155,50s,"(98133.0, 98155.0]",0-1,3,1.0,3,0.0,47.7766,-122.307,265.625,0.3333333333333333,0.0010416666666666667,0.003125
13137,260000.0,1990,4,2.5,2.0,3,0.0,1989,98023,80s,"(98010.0, 98023.0]",2-3,4,2.0,3,0.0,47.3078,-122.35799999999999,130.6532663316583,0.625,0.001256281407035176,0.0020100502512562816
13138,394000.0,1450,3,1.0,1.0,4,0.0,1923,98126,20s,"(98125.0, 98133.0]",0-1,3,1.0,4,0.0,47.5212,-122.37100000000001,271.7241379310345,0.3333333333333333,0.000689655172413793,0.0020689655172413794
13139,575000.0,2280,4,2.5,2.0,3,0.0,1996,98072,90s,"(98070.0, 98075.0]",2-3,4,2.0,3,0.0,47.7628,-122.12299999999999,252.19298245614036,0.625,0.0010964912280701754,0.0017543859649122807
13140,1250000.0,1830,4,2.25,2.0,3,2.0,1923,98112,20s,"(98107.0, 98115.0]",2-3,4,2.0,3,2.0,47.6315,-122.28200000000001,683.0601092896175,0.5625,0.0012295081967213116,0.002185792349726776
13141,385000.0,1650,3,2.25,1.0,3,0.0,1969,98011,60s,"(98010.0, 98023.0]",2-3,3,1.0,3,0.0,47.7377,-122.197,233.33333333333334,0.75,0.0013636363636363637,0.0018181818181818182
13143,637000.0,1710,4,2.5,1.0,3,0.0,1979,98115,70s,"(98107.0, 98115.0]",2-3,4,1.0,3,0.0,47.6772,-122.285,372.51461988304095,0.625,0.0014619883040935672,0.0023391812865497076
13145,315275.0,1440,3,1.75,1.0,3,0.0,1951,98125,50s,"(98118.0, 98125.0]",1-2,3,1.0,3,0.0,47.7128,-122.306,218.94097222222223,0.5833333333333334,0.0012152777777777778,0.0020833333333333333
13146,252500.0,1280,2,1.5,1.0,3,0.0,1967,98058,60s,"(98053.0, 98058.0]",1-2,2,1.0,3,0.0,47.4472,-122.16,197.265625,0.75,0.001171875,0.0015625
13147,240000.0,1320,2,1.0,1.0,3,0.0,1966,98027,60s,"(98023.0, 98029.0]",0-1,2,1.0,3,0.0,47.4741,-122.015,181.8181818181818,0.5,0.0007575757575757576,0.0015151515151515152
13148,790000.0,2560,4,2.5,1.0,4,0.0,1949,98115,40s,"(98107.0, 98115.0]",2-3,4,1.0,4,0.0,47.6947,-122.303,308.59375,0.625,0.0009765625,0.0015625
13149,310000.0,1480,3,1.0,1.0,3,0.0,1952,98133,50s,"(98125.0, 98133.0]",0-1,3,1.0,3,0.0,47.7703,-122.336,209.45945945945945,0.3333333333333333,0.0006756756756756757,0.002027027027027027
13150,1250000.0,2960,4,2.5,2.0,4,4.0,1985,98146,80s,"(98133.0, 98155.0]",2-3,4,2.0,4,4.0,47.5075,-122.389,422.2972972972973,0.625,0.0008445945945945946,0.0013513513513513514
13151,425000.0,1160,2,1.0,1.0,5,0.0,1942,98126,40s,"(98125.0, 98133.0]",0-1,2,1.0,5,0.0,47.5304,-122.38,366.37931034482756,0.5,0.0008620689655172414,0.0017241379310344827
13152,548000.0,2110,3,2.5,2.0,3,0.0,2001,98072,00s,"(98070.0, 98075.0]",2-3,3,2.0,3,0.0,47.7508,-122.17,259.7156398104265,0.8333333333333334,0.001184834123222749,0.0014218009478672985
13153,379880.0,1650,3,2.5,1.0,4,0.0,1986,98027,80s,"(98023.0, 98029.0]",2-3,3,1.0,4,0.0,47.4821,-122.01700000000001,230.23030303030302,0.8333333333333334,0.0015151515151515152,0.0018181818181818182
13154,530000.0,1950,3,2.5,2.0,3,0.0,1988,98074,80s,"(98070.0, 98075.0]",2-3,3,2.0,3,0.0,47.6363,-122.025,271.79487179487177,0.8333333333333334,0.001282051282051282,0.0015384615384615385
13155,695000.0,2600,3,2.25,1.5,5,0.0,1977,98027,70s,"(98023.0, 98029.0]",2-3,3,1.5,5,0.0,47.4562,-122.016,267.3076923076923,0.75,0.0008653846153846154,0.001153846153846154
13156,435000.0,1270,3,1.0,1.5,3,2.0,1928,98126,20s,"(98125.0, 98133.0]",0-1,3,1.5,3,2.0,47.5695,-122.376,342.5196850393701,0.3333333333333333,0.0007874015748031496,0.002362204724409449
13157,540000.0,1300,3,1.75,1.0,3,0.0,1983,98053,80s,"(98042.0, 98053.0]",1-2,3,1.0,3,0.0,47.6529,-121.979,415.38461538461536,0.5833333333333334,0.001346153846153846,0.002307692307692308
13158,425000.0,1790,3,2.25,1.0,3,0.0,1967,98072,60s,"(98070.0, 98075.0]",2-3,3,1.0,3,0.0,47.7492,-122.086,237.43016759776538,0.75,0.0012569832402234637,0.0016759776536312849
13159,490000.0,1930,3,2.5,2.0,3,0.0,2005,98125,00s,"(98118.0, 98125.0]",2-3,3,2.0,3,0.0,47.7191,-122.309,253.8860103626943,0.8333333333333334,0.0012953367875647669,0.0015544041450777201
13160,220000.0,1200,4,1.0,1.5,3,0.0,1923,98106,20s,"(98103.0, 98107.0]",0-1,4,1.5,3,0.0,47.5307,-122.352,183.33333333333334,0.25,0.0008333333333333334,0.0033333333333333335
13161,540000.0,2050,4,2.5,2.0,3,0.0,2001,98034,00s,"(98033.0, 98038.0]",2-3,4,2.0,3,0.0,47.7189,-122.181,263.4146341463415,0.625,0.0012195121951219512,0.001951219512195122
13162,670000.0,1710,3,1.0,1.0,3,0.0,1946,98105,40s,"(98103.0, 98107.0]",0-1,3,1.0,3,0.0,47.6706,-122.265,391.812865497076,0.3333333333333333,0.0005847953216374269,0.0017543859649122807
13163,667500.0,2130,3,1.75,1.0,3,0.0,1953,98004,50s,"(98000.999, 98004.0]",1-2,3,1.0,3,0.0,47.6339,-122.19200000000001,313.38028169014086,0.5833333333333334,0.0008215962441314554,0.0014084507042253522
13164,585000.0,1700,3,3.5,2.0,3,0.0,2010,98116,00s,"(98115.0, 98118.0]",3-4,3,2.0,3,0.0,47.5767,-122.41,344.11764705882354,1.1666666666666667,0.002058823529411765,0.0017647058823529412
13165,225000.0,1390,3,1.5,1.0,4,0.0,1976,98014,70s,"(98010.0, 98023.0]",1-2,3,1.0,4,0.0,47.6496,-121.90799999999999,161.8705035971223,0.5,0.001079136690647482,0.002158273381294964
13166,375000.0,1230,3,1.0,1.0,3,0.0,1954,98006,50s,"(98004.0, 98010.0]",0-1,3,1.0,3,0.0,47.5745,-122.13600000000001,304.8780487804878,0.3333333333333333,0.0008130081300813008,0.0024390243902439024
13167,335000.0,1490,3,2.0,1.0,4,0.0,1967,98177,60s,"(98155.0, 98177.0]",1-2,3,1.0,4,0.0,47.7639,-122.363,224.83221476510067,0.6666666666666666,0.0013422818791946308,0.0020134228187919465
13169,600000.0,970,3,1.0,1.0,3,0.0,1950,98112,40s,"(98107.0, 98115.0]",0-1,3,1.0,3,0.0,47.6212,-122.29799999999999,618.5567010309278,0.3333333333333333,0.0010309278350515464,0.003092783505154639
13170,161000.0,1700,4,2.0,1.0,3,0.0,1954,98168,50s,"(98155.0, 98177.0]",1-2,4,1.0,3,0.0,47.4758,-122.288,94.70588235294117,0.5,0.001176470588235294,0.002352941176470588
13171,220000.0,1700,4,2.0,1.0,3,0.0,1954,98168,50s,"(98155.0, 98177.0]",1-2,4,1.0,3,0.0,47.4758,-122.288,129.41176470588235,0.5,0.001176470588235294,0.002352941176470588
13172,420000.0,1720,3,1.75,1.5,3,0.0,1932,98019,30s,"(98010.0, 98023.0]",1-2,3,1.5,3,0.0,47.738,-121.98299999999999,244.1860465116279,0.5833333333333334,0.0010174418604651163,0.0017441860465116279
13173,710000.0,1400,3,1.0,1.5,3,0.0,1909,98119,pre-20s,"(98118.0, 98125.0]",0-1,3,1.5,3,0.0,47.6373,-122.35799999999999,507.14285714285717,0.3333333333333333,0.0007142857142857143,0.002142857142857143
13174,626000.0,2570,4,2.5,1.0,4,0.0,1958,98117,50s,"(98115.0, 98118.0]",2-3,4,1.0,4,0.0,47.6921,-122.387,243.57976653696497,0.625,0.0009727626459143969,0.0015564202334630351
13175,279500.0,1200,3,1.5,1.0,4,0.0,1959,98146,50s,"(98133.0, 98155.0]",1-2,3,1.0,4,0.0,47.4901,-122.34100000000001,232.91666666666666,0.5,0.00125,0.0025
13176,1610000.0,4390,4,3.5,2.0,3,3.0,1990,98040,80s,"(98038.0, 98042.0]",3-4,4,2.0,3,3.0,47.5862,-122.24600000000001,366.74259681093395,0.875,0.0007972665148063781,0.0009111617312072893
13177,325000.0,1080,2,1.0,1.0,3,0.0,1954,98106,50s,"(98103.0, 98107.0]",0-1,2,1.0,3,0.0,47.5682,-122.359,300.9259259259259,0.5,0.000925925925925926,0.001851851851851852
13178,380000.0,1860,4,2.25,1.0,4,0.0,1966,98058,60s,"(98053.0, 98058.0]",2-3,4,1.0,4,0.0,47.4524,-122.15,204.30107526881721,0.5625,0.0012096774193548388,0.002150537634408602
13179,470000.0,2150,4,2.75,1.0,4,0.0,1979,98011,70s,"(98010.0, 98023.0]",2-3,4,1.0,4,0.0,47.7758,-122.2,218.6046511627907,0.6875,0.0012790697674418604,0.0018604651162790699
13180,363000.0,2250,4,3.0,2.0,3,0.0,1986,98058,80s,"(98053.0, 98058.0]",2-3,4,2.0,3,0.0,47.4338,-122.16,161.33333333333334,0.75,0.0013333333333333333,0.0017777777777777779
13181,245000.0,2050,4,2.25,2.0,3,0.0,1977,98023,70s,"(98010.0, 98023.0]",2-3,4,2.0,3,0.0,47.3009,-122.375,119.51219512195122,0.5625,0.0010975609756097562,0.001951219512195122
13182,525000.0,1010,3,1.0,1.0,3,0.0,1902,98102,pre-20s,"(98075.0, 98103.0]",0-1,3,1.0,3,0.0,47.6208,-122.319,519.8019801980198,0.3333333333333333,0.0009900990099009901,0.0029702970297029703
13184,658500.0,1900,4,2.25,1.0,3,0.0,1963,98199,60s,"(98177.0, 98199.0]",2-3,4,1.0,3,0.0,47.6456,-122.387,346.57894736842104,0.5625,0.0011842105263157896,0.002105263157894737
13185,680000.0,1020,2,1.0,1.0,4,4.0,1941,98136,40s,"(98133.0, 98155.0]",0-1,2,1.0,4,4.0,47.5145,-122.391,666.6666666666666,0.5,0.000980392156862745,0.00196078431372549
13186,835000.0,3390,4,2.0,2.0,4,0.0,1987,98077,80s,"(98075.0, 98103.0]",1-2,4,2.0,4,0.0,47.7222,-122.056,246.3126843657817,0.5,0.0005899705014749262,0.0011799410029498525
13187,595000.0,1990,4,2.5,2.0,3,0.0,2005,98107,00s,"(98103.0, 98107.0]",2-3,4,2.0,3,0.0,47.6696,-122.37100000000001,298.99497487437185,0.625,0.001256281407035176,0.0020100502512562816
13188,419000.0,3190,4,2.5,2.0,3,0.0,2005,98038,00s,"(98033.0, 98038.0]",2-3,4,2.0,3,0.0,47.3657,-122.03399999999999,131.34796238244513,0.625,0.0007836990595611285,0.0012539184952978057
13189,198900.0,1210,2,1.0,1.0,4,0.0,1940,98042,30s,"(98038.0, 98042.0]",0-1,2,1.0,4,0.0,47.3752,-122.166,164.3801652892562,0.5,0.0008264462809917355,0.001652892561983471
13190,1090000.0,3740,4,3.25,1.0,3,0.0,1988,98077,80s,"(98075.0, 98103.0]",3-4,4,1.0,3,0.0,47.7214,-122.056,291.4438502673797,0.8125,0.0008689839572192514,0.0010695187165775401
13191,500000.0,2150,3,3.5,2.0,3,0.0,1998,98074,90s,"(98070.0, 98075.0]",3-4,3,2.0,3,0.0,47.6213,-122.065,232.5581395348837,1.1666666666666667,0.0016279069767441861,0.0013953488372093023
13192,575000.0,2440,4,1.75,1.0,4,0.0,1960,98177,50s,"(98155.0, 98177.0]",1-2,4,1.0,4,0.0,47.7201,-122.361,235.65573770491804,0.4375,0.0007172131147540983,0.001639344262295082
13193,324950.0,1230,2,1.5,3.0,3,0.0,2000,98125,90s,"(98118.0, 98125.0]",1-2,2,3.0,3,0.0,47.7265,-122.314,264.1869918699187,0.75,0.0012195121951219512,0.0016260162601626016
13194,259000.0,2740,3,2.5,2.0,4,0.0,1964,98168,60s,"(98155.0, 98177.0]",2-3,3,2.0,4,0.0,47.473,-122.3,94.52554744525547,0.8333333333333334,0.0009124087591240876,0.0010948905109489052
13195,551000.0,2260,2,2.0,1.0,3,0.0,1990,98011,80s,"(98010.0, 98023.0]",1-2,2,1.0,3,0.0,47.7718,-122.208,243.8053097345133,1.0,0.0008849557522123894,0.0008849557522123894
13196,488000.0,1000,2,1.5,1.0,3,0.0,1942,98103,40s,"(98075.0, 98103.0]",1-2,2,1.0,3,0.0,47.6926,-122.34700000000001,488.0,0.75,0.0015,0.002
13197,635000.0,2350,4,2.25,2.0,4,0.0,1980,98053,70s,"(98042.0, 98053.0]",2-3,4,2.0,4,0.0,47.6657,-122.06700000000001,270.21276595744683,0.5625,0.0009574468085106382,0.001702127659574468
13198,395000.0,2300,3,2.5,2.0,3,0.0,1989,98031,80s,"(98029.0, 98033.0]",2-3,3,2.0,3,0.0,47.4181,-122.211,171.7391304347826,0.8333333333333334,0.0010869565217391304,0.0013043478260869566
13199,370000.0,1440,3,1.0,1.5,4,0.0,1928,98155,20s,"(98133.0, 98155.0]",0-1,3,1.5,4,0.0,47.7438,-122.315,256.94444444444446,0.3333333333333333,0.0006944444444444445,0.0020833333333333333
13200,675000.0,2780,4,3.0,1.5,5,0.0,1919,98116,pre-20s,"(98115.0, 98118.0]",2-3,4,1.5,5,0.0,47.5721,-122.381,242.80575539568346,0.75,0.001079136690647482,0.0014388489208633094
13201,402000.0,1200,3,1.0,1.0,3,0.0,1954,98133,50s,"(98125.0, 98133.0]",0-1,3,1.0,3,0.0,47.7491,-122.353,335.0,0.3333333333333333,0.0008333333333333334,0.0025
13202,825000.0,3040,3,2.75,2.0,4,0.0,1987,98034,80s,"(98033.0, 98038.0]",2-3,3,2.0,4,0.0,47.7108,-122.225,271.38157894736844,0.9166666666666666,0.0009046052631578947,0.000986842105263158
13203,579000.0,2660,3,2.75,1.0,3,0.0,1962,98038,60s,"(98033.0, 98038.0]",2-3,3,1.0,3,0.0,47.4127,-122.071,217.66917293233084,0.9166666666666666,0.0010338345864661653,0.0011278195488721805
13205,265000.0,1780,3,2.5,2.0,3,0.0,1989,98092,80s,"(98075.0, 98103.0]",2-3,3,2.0,3,0.0,47.2578,-122.21700000000001,148.87640449438203,0.8333333333333334,0.0014044943820224719,0.0016853932584269663
13207,240000.0,1550,3,1.0,1.0,4,0.0,1962,98056,60s,"(98053.0, 98058.0]",0-1,3,1.0,4,0.0,47.5024,-122.169,154.83870967741936,0.3333333333333333,0.0006451612903225806,0.001935483870967742
13208,570000.0,2710,4,3.0,2.5,3,0.0,2006,98022,00s,"(98010.0, 98023.0]",2-3,4,2.5,3,0.0,47.2411,-121.932,210.3321033210332,0.75,0.001107011070110701,0.0014760147601476014
13209,243800.0,1140,3,1.0,1.0,4,0.0,1981,98027,80s,"(98023.0, 98029.0]",0-1,3,1.0,4,0.0,47.5372,-121.97200000000001,213.859649122807,0.3333333333333333,0.0008771929824561404,0.002631578947368421
13210,543000.0,940,2,1.0,1.0,4,0.0,1918,98103,pre-20s,"(98075.0, 98103.0]",0-1,2,1.0,4,0.0,47.6631,-122.345,577.6595744680851,0.5,0.0010638297872340426,0.002127659574468085
13211,1010000.0,2160,3,2.25,2.0,3,0.0,1982,98112,80s,"(98107.0, 98115.0]",2-3,3,2.0,3,0.0,47.6232,-122.29899999999999,467.5925925925926,0.75,0.0010416666666666667,0.001388888888888889
13212,625000.0,2470,4,2.25,2.0,4,0.0,1979,98075,70s,"(98070.0, 98075.0]",2-3,4,2.0,4,0.0,47.5924,-122.04799999999999,253.03643724696357,0.5625,0.0009109311740890688,0.0016194331983805667
13213,459950.0,2800,4,2.5,2.0,3,0.0,2006,98038,00s,"(98033.0, 98038.0]",2-3,4,2.0,3,0.0,47.3555,-122.00200000000001,164.26785714285714,0.625,0.0008928571428571428,0.0014285714285714286
13214,370000.0,2420,4,2.75,1.0,3,0.0,1985,98038,80s,"(98033.0, 98038.0]",2-3,4,1.0,3,0.0,47.4053,-122.03,152.89256198347107,0.6875,0.0011363636363636363,0.001652892561983471
13215,150000.0,1460,4,2.0,1.0,3,0.0,1959,98178,50s,"(98177.0, 98199.0]",1-2,4,1.0,3,0.0,47.5056,-122.25399999999999,102.73972602739725,0.5,0.0013698630136986301,0.0027397260273972603
13216,683500.0,1820,3,1.5,1.5,3,0.0,1946,98119,40s,"(98118.0, 98125.0]",1-2,3,1.5,3,0.0,47.6479,-122.367,375.54945054945057,0.5,0.0008241758241758242,0.0016483516483516484
13217,499950.0,1520,3,2.5,2.0,3,0.0,2007,98119,00s,"(98118.0, 98125.0]",2-3,3,2.0,3,0.0,47.6419,-122.374,328.9144736842105,0.8333333333333334,0.001644736842105263,0.001973684210526316
13218,255000.0,1320,2,1.0,1.0,3,0.0,1919,98108,pre-20s,"(98107.0, 98115.0]",0-1,2,1.0,3,0.0,47.5693,-122.296,193.1818181818182,0.5,0.0007575757575757576,0.0015151515151515152
13219,279000.0,1920,3,2.5,2.0,3,0.0,1989,98031,80s,"(98029.0, 98033.0]",2-3,3,2.0,3,0.0,47.4024,-122.171,145.3125,0.8333333333333334,0.0013020833333333333,0.0015625
13221,699000.0,2650,4,2.5,2.0,3,0.0,2006,98125,00s,"(98118.0, 98125.0]",2-3,4,2.0,3,0.0,47.7113,-122.296,263.77358490566036,0.625,0.0009433962264150943,0.0015094339622641509
13222,1650000.0,3640,4,3.25,1.0,3,0.0,1924,98039,20s,"(98038.0, 98042.0]",3-4,4,1.0,3,0.0,47.6293,-122.238,453.2967032967033,0.8125,0.0008928571428571428,0.001098901098901099
13223,248000.0,1420,3,1.0,1.0,4,0.0,1981,98030,80s,"(98029.0, 98033.0]",0-1,3,1.0,4,0.0,47.3746,-122.181,174.64788732394365,0.3333333333333333,0.0007042253521126761,0.002112676056338028
13224,429000.0,1540,3,1.0,1.0,4,0.0,1959,98001,50s,"(98000.999, 98004.0]",0-1,3,1.0,4,0.0,47.3259,-122.289,278.57142857142856,0.3333333333333333,0.0006493506493506494,0.001948051948051948
13225,685000.0,1550,4,1.0,1.5,3,4.0,1930,98166,20s,"(98155.0, 98177.0]",0-1,4,1.5,3,4.0,47.4502,-122.37799999999999,441.93548387096774,0.25,0.0006451612903225806,0.0025806451612903226
13226,316000.0,730,2,1.0,1.0,3,0.0,1927,98126,20s,"(98125.0, 98133.0]",0-1,2,1.0,3,0.0,47.5387,-122.374,432.8767123287671,0.5,0.0013698630136986301,0.0027397260273972603
13227,410000.0,2020,2,1.0,1.0,3,0.0,1921,98118,20s,"(98115.0, 98118.0]",0-1,2,1.0,3,0.0,47.5359,-122.28,202.97029702970298,0.5,0.0004950495049504951,0.0009900990099009901
13228,299000.0,1200,3,1.0,1.0,3,2.0,1955,98045,50s,"(98042.0, 98053.0]",0-1,3,1.0,3,2.0,47.4991,-121.779,249.16666666666666,0.3333333333333333,0.0008333333333333334,0.0025
13229,559000.0,1240,2,1.0,1.0,4,1.0,1938,98126,30s,"(98125.0, 98133.0]",0-1,2,1.0,4,1.0,47.5493,-122.37700000000001,450.80645161290323,0.5,0.0008064516129032258,0.0016129032258064516
13230,575000.0,2680,3,2.25,2.0,4,0.0,1978,98027,70s,"(98023.0, 98029.0]",2-3,3,2.0,4,0.0,47.4776,-122.02,214.55223880597015,0.75,0.0008395522388059701,0.001119402985074627
13231,602000.0,1640,3,2.5,2.0,3,0.0,1998,98122,90s,"(98118.0, 98125.0]",2-3,3,2.0,3,0.0,47.6103,-122.3,367.0731707317073,0.8333333333333334,0.001524390243902439,0.001829268292682927
13232,492000.0,1640,4,2.0,2.0,3,0.0,1907,98107,pre-20s,"(98103.0, 98107.0]",1-2,4,2.0,3,0.0,47.6662,-122.365,300.0,0.5,0.0012195121951219512,0.0024390243902439024
13233,293500.0,1610,3,2.5,2.0,3,0.0,2004,98038,00s,"(98033.0, 98038.0]",2-3,3,2.0,3,0.0,47.3833,-122.04299999999999,182.29813664596273,0.8333333333333334,0.0015527950310559005,0.0018633540372670807
13234,481000.0,2290,3,2.75,1.0,5,0.0,1967,98056,60s,"(98053.0, 98058.0]",2-3,3,1.0,5,0.0,47.5343,-122.185,210.04366812227073,0.9166666666666666,0.001200873362445415,0.0013100436681222707
13235,311100.0,2130,4,2.25,1.0,4,0.0,1977,98055,70s,"(98053.0, 98058.0]",2-3,4,1.0,4,0.0,47.4482,-122.209,146.05633802816902,0.5625,0.001056338028169014,0.0018779342723004694
13236,375000.0,2140,3,1.75,1.5,4,0.0,1970,98014,60s,"(98010.0, 98023.0]",1-2,3,1.5,4,0.0,47.7139,-121.321,175.2336448598131,0.5833333333333334,0.0008177570093457944,0.0014018691588785046
13237,1080000.0,4020,3,3.0,1.5,3,2.0,1999,98045,90s,"(98042.0, 98053.0]",2-3,3,1.5,3,2.0,47.4418,-121.73100000000001,268.65671641791045,1.0,0.0007462686567164179,0.0007462686567164179
13239,553000.0,1380,3,1.0,1.0,4,0.0,1918,98136,pre-20s,"(98133.0, 98155.0]",0-1,3,1.0,4,0.0,47.5514,-122.385,400.72463768115944,0.3333333333333333,0.0007246376811594203,0.002173913043478261
13240,760000.0,1780,3,2.0,1.0,3,2.0,1927,98103,20s,"(98075.0, 98103.0]",1-2,3,1.0,3,2.0,47.6797,-122.35700000000001,426.96629213483146,0.6666666666666666,0.0011235955056179776,0.0016853932584269663
13241,589500.0,1440,4,1.5,1.0,4,1.0,1960,98136,50s,"(98133.0, 98155.0]",1-2,4,1.0,4,1.0,47.5269,-122.383,409.375,0.375,0.0010416666666666667,0.002777777777777778
13243,2550000.0,4190,4,3.0,2.5,5,2.0,1928,98112,20s,"(98107.0, 98115.0]",2-3,4,2.5,5,2.0,47.6181,-122.28399999999999,608.5918854415274,0.75,0.0007159904534606205,0.0009546539379474941
13244,1280000.0,3870,3,2.5,2.0,3,3.0,1997,98008,90s,"(98004.0, 98010.0]",2-3,3,2.0,3,3.0,47.5966,-122.11200000000001,330.74935400516796,0.8333333333333334,0.0006459948320413437,0.0007751937984496124
13245,260000.0,1850,3,2.5,1.0,3,0.0,1968,98058,60s,"(98053.0, 98058.0]",2-3,3,1.0,3,0.0,47.434,-122.171,140.54054054054055,0.8333333333333334,0.0013513513513513514,0.0016216216216216215
13246,430000.0,1550,3,2.25,3.0,3,0.0,2004,98103,00s,"(98075.0, 98103.0]",2-3,3,3.0,3,0.0,47.6911,-122.34100000000001,277.4193548387097,0.75,0.0014516129032258066,0.001935483870967742
13247,781000.0,1920,3,2.5,3.0,3,3.0,2000,98103,90s,"(98075.0, 98103.0]",2-3,3,3.0,3,3.0,47.6616,-122.35600000000001,406.7708333333333,0.8333333333333334,0.0013020833333333333,0.0015625
13248,280000.0,790,2,1.0,1.0,3,0.0,1947,98106,40s,"(98103.0, 98107.0]",0-1,2,1.0,3,0.0,47.5487,-122.35700000000001,354.43037974683546,0.5,0.0012658227848101266,0.002531645569620253
13250,466200.0,1340,3,1.5,1.0,4,0.0,1959,98008,50s,"(98004.0, 98010.0]",1-2,3,1.0,4,0.0,47.6094,-122.126,347.910447761194,0.5,0.001119402985074627,0.002238805970149254
13251,641000.0,1620,3,1.75,1.0,5,0.0,1926,98117,20s,"(98115.0, 98118.0]",1-2,3,1.0,5,0.0,47.6786,-122.368,395.679012345679,0.5833333333333334,0.0010802469135802468,0.001851851851851852
13252,350000.0,1680,3,1.0,1.0,3,0.0,1951,98117,50s,"(98115.0, 98118.0]",0-1,3,1.0,3,0.0,47.6993,-122.376,208.33333333333334,0.3333333333333333,0.0005952380952380953,0.0017857142857142857
13253,450000.0,1610,3,2.0,2.0,3,0.0,1996,98029,90s,"(98023.0, 98029.0]",1-2,3,2.0,3,0.0,47.5672,-122.00399999999999,279.5031055900621,0.6666666666666666,0.0012422360248447205,0.0018633540372670807
13254,1800000.0,4460,4,3.5,1.0,3,0.0,1962,98039,60s,"(98038.0, 98042.0]",3-4,4,1.0,3,0.0,47.6338,-122.23200000000001,403.58744394618833,0.875,0.0007847533632286995,0.0008968609865470852
13255,185000.0,1200,3,1.5,2.0,3,0.0,1966,98055,60s,"(98053.0, 98058.0]",1-2,3,2.0,3,0.0,47.4658,-122.191,154.16666666666666,0.5,0.00125,0.0025
13256,290000.0,1250,2,1.0,1.0,5,0.0,1958,98056,50s,"(98053.0, 98058.0]",0-1,2,1.0,5,0.0,47.4972,-122.176,232.0,0.5,0.0008,0.0016
13257,964000.0,3630,3,2.5,2.0,3,0.0,1999,98074,90s,"(98070.0, 98075.0]",2-3,3,2.0,3,0.0,47.6544,-122.085,265.56473829201104,0.8333333333333334,0.0006887052341597796,0.0008264462809917355
13258,2000000.0,4260,4,3.0,2.0,3,2.0,2000,98040,90s,"(98038.0, 98042.0]",2-3,4,2.0,3,2.0,47.5355,-122.24,469.4835680751174,0.75,0.0007042253521126761,0.0009389671361502347
13259,545000.0,2180,3,2.5,1.0,4,0.0,1979,98075,70s,"(98070.0, 98075.0]",2-3,3,1.0,4,0.0,47.592,-122.08200000000001,250.0,0.8333333333333334,0.0011467889908256881,0.0013761467889908258
13260,609950.0,1760,3,2.25,1.0,4,0.0,1979,98033,70s,"(98029.0, 98033.0]",2-3,3,1.0,4,0.0,47.6605,-122.18799999999999,346.5625,0.75,0.001278409090909091,0.0017045454545454545
